"fYear","Region","Quarter","fAGE","Prob_West","SE","N"
"2023","EATL","Q2","'0-4",0.205813633635891,0.0395478074805179,2
"2024","EATL","Q2","'0-4",0.193779717921121,0.0287138397203585,27
"2022","EATL","Q2","'0-4",0.211355333220811,0.043154821817188,1
"2018","WATL","Q1","'5-8",0.666696237074289,0.0460121068445064,2
"2019","WATL","Q1","'5-8",0.629402734534167,0.0570138794581693,1
"2016","WATL","Q1","'5-8",0.577993540425034,0.0468117285757917,9
"2023","EATL","Q1","'5-8",0.230070320674406,0.0376475432050147,9
"2024","EATL","Q1","'5-8",0.227120950184357,0.0364187354279501,14
"2022","EATL","Q1","'5-8",0.235505829622587,0.0446892259049532,2
"2018","WATL","Q1","'9+",0.749246494690675,0.0320692532318699,13
"2019","WATL","Q1","'9+",0.774933585037655,0.0197071878945224,77
"2016","WATL","Q1","'9+",0.676935656782176,0.0420351837260331,24
"2017","EATL","Q1","'9+",0.252412431781827,0.0413266458076222,49
"2018","EATL","Q1","'9+",0.248326247366208,0.0420441820829561,38
"2019","EATL","Q1","'9+",0.24453301399228,0.0450053962735646,25
"2021","EATL","Q1","'9+",0.243285632151209,0.0467608536467898,1
"2016","EATL","Q1","'9+",0.247792895860552,0.0411663127500014,49
"2015","EATL","Q1","'9+",0.258316894278388,0.0434635384848266,23
"2013","EATL","Q1","'9+",0.264420787398508,0.0453999016778667,47
"2023","EATL","Q1","'9+",0.238155225281041,0.0336568495657574,23
"2024","EATL","Q1","'9+",0.232581280287557,0.0372256642438175,14
"2022","EATL","Q1","'9+",0.241183234372307,0.0436073811147507,2
"2012","EATL","Q1","'0-4",0.25162474497698,0.0456466283599726,1
"2024","EATL","Q1","'0-4",0.224113111754732,0.0415428132170997,2
