"fYear","Region","Quarter","fAGE","Prob_West","SE","N"
"2012","EATL","Q4","'5-8",0.340276399063589,0.031499123080847,55
"2013","EATL","Q4","'5-8",0.346152928562235,0.0354481121072466,37
"2016","EATL","Q4","'5-8",0.229994100803165,0.0335415184663425,22
"2018","EATL","Q4","'5-8",0.214476349250601,0.0573975967472705,1
"2021","EATL","Q4","'5-8",0.189087928448458,0.0489772654441855,5
"2014","EATL","Q4","'5-8",0.25128950371509,0.0331168364214195,25
"2017","EATL","Q4","'5-8",0.258973752086466,0.0573393439805626,11
"2009","WATL","Q4","'5-8",0.448470590818678,0.0921452221269263,2
"2010","WATL","Q4","'5-8",0.380169222717676,0.035719549973327,24
"2011","WATL","Q4","'5-8",0.432653047578652,0.0334970434564628,38
"2012","WATL","Q4","'5-8",0.492476956126899,0.046913688449806,17
"2015","WATL","Q4","'5-8",0.43568604376929,0.0375759867992807,23
"2013","WATL","Q4","'5-8",0.407644395873381,0.042428592734668,26
"2016","WATL","Q4","'5-8",0.401203775305453,0.0288874746024213,58
"2018","WATL","Q4","'5-8",0.517388997787683,0.0302550523477539,60
"2019","WATL","Q4","'5-8",0.429321208227223,0.0284783709387821,59
"2020","WATL","Q4","'5-8",0.421991660630054,0.0569269226155686,15
"2021","WATL","Q4","'5-8",0.505188751349254,0.0590155128186959,15
"2014","WATL","Q4","'5-8",0.430959251780726,0.0286741814813058,56
"2017","WATL","Q4","'5-8",0.52507856963876,0.0277246298113143,81
"2022","WATL","Q4","'5-8",0.565738139129172,0.0678731140808848,29
"2023","WATL","Q4","'5-8",0.655644590649281,0.0438775401359231,22
"2024","WATL","Q4","'5-8",0.740447363954302,0.050675422672006,8
"2010","EATL","Q4","'9+",0.202324559955909,0.0332138262203159,17
"2011","EATL","Q4","'9+",0.220917835909124,0.0322453217744319,42
"2012","EATL","Q4","'9+",0.282445113138074,0.0188128825930348,122
"2015","EATL","Q4","'9+",0.238060674229062,0.0206083699359288,70
"2013","EATL","Q4","'9+",0.482576688786449,0.0332860915634636,48
"2016","EATL","Q4","'9+",0.233755096441507,0.0194832429153554,79
"2018","EATL","Q4","'9+",0.235050697504071,0.0230685052397,46
"2020","EATL","Q4","'9+",0.220037046565774,0.0350733895809315,11
"2021","EATL","Q4","'9+",0.247721119211594,0.027804425408437,26
"2014","EATL","Q4","'9+",0.271083352016265,0.025879048722981,49
"2017","EATL","Q4","'9+",0.251327076112368,0.022160191265002,69
"2009","WATL","Q4","'9+",0.514019836714173,0.0926328281094253,22
"2010","WATL","Q4","'9+",0.465972133556825,0.0301735022147472,63
"2011","WATL","Q4","'9+",0.579494666910303,0.024901208088031,133
"2012","WATL","Q4","'9+",0.59600328943944,0.0319591264164058,70
"2015","WATL","Q4","'9+",0.430238807787944,0.0220327240056911,130
"2013","WATL","Q4","'9+",0.540142114113336,0.0311655797736142,142
"2016","WATL","Q4","'9+",0.453492872387959,0.021746517378442,167
"2018","WATL","Q4","'9+",0.581988559941456,0.0168700141290032,295
"2019","WATL","Q4","'9+",0.638585474935155,0.0153445590430344,302
"2020","WATL","Q4","'9+",0.629767397472072,0.0182504099930023,195
"2021","WATL","Q4","'9+",0.603217740680951,0.0248632231406286,125
"2014","WATL","Q4","'9+",0.451615953380606,0.0221837389758345,125
"2017","WATL","Q4","'9+",0.620062426269829,0.0183979503683311,228
"2007","WATL","Q4","'9+",0.573826371962522,0.110536807820319,7
"2022","WATL","Q4","'9+",0.698330005396996,0.0230687955469482,92
"2023","WATL","Q4","'9+",0.77522350916902,0.0186657424052317,106
"2024","WATL","Q4","'9+",0.801024761495395,0.0172465705125922,95
"2008","WATL","Q4","'9+",0.549085590973004,0.105385670614924,14
"2010","EATL","Q2","'0-4",0.158396010302896,0.0243212954671231,7
"2011","EATL","Q2","'0-4",0.175034852810778,0.0249918289572856,10
"2012","EATL","Q2","'0-4",0.194690494794048,0.0344026107630258,1
"2010","MED","Q2","'0-4",0.118077607303405,0.0358883223561631,1
"2011","MED","Q2","'0-4",0.118527125165625,0.0215262538433125,1
"2000","MED","Q2","'0-4",0.106343021487541,0.0295867882181471,4
"2012","WATL","Q2","'0-4",0.318662460103591,0.0491953748484675,2
"2015","WATL","Q2","'0-4",0.350732166653621,0.0555067791140861,7
"2018","WATL","Q2","'0-4",0.411482738747743,0.0769315651106918,1
"2019","WATL","Q2","'0-4",0.394904205513086,0.0656090602484433,4
"2010","EATL","Q2","'5-8",0.284537641384075,0.0456828259837062,1
"2011","EATL","Q2","'5-8",0.19930181484355,0.0333636899433495,24
"2012","EATL","Q2","'5-8",0.286377974047086,0.0497538465434179,10
"2013","EATL","Q2","'5-8",0.291398006734916,0.0529322825889505,2
"2019","EATL","Q2","'5-8",0.178889806852226,0.0539497818674676,2
"2010","MED","Q2","'5-8",0.11103034325939,0.0270952345204671,5
"2011","MED","Q2","'5-8",0.126632560919114,0.0138505400600472,41
"2012","MED","Q2","'5-8",0.116517087601018,0.0248800551002159,8
"2015","MED","Q2","'5-8",0.109964193384286,0.0285115644036008,6
"2010","WATL","Q2","'5-8",0.358933359473934,0.0443502994177052,4
"2011","WATL","Q2","'5-8",0.408160555559136,0.0296742722242919,50
"2012","WATL","Q2","'5-8",0.382626101867094,0.0361012456883454,24
"2015","WATL","Q2","'5-8",0.42024944818857,0.0414829785156798,13
"2013","WATL","Q2","'5-8",0.351452591046787,0.0353657584670348,20
"2016","WATL","Q2","'5-8",0.421377555177537,0.0376877180475485,23
"2018","WATL","Q2","'5-8",0.483009550921865,0.0473297350022142,3
"2019","WATL","Q2","'5-8",0.410107956096147,0.0268696903372269,69
"2014","WATL","Q2","'5-8",0.416378334520752,0.0398296101761207,14
"2017","WATL","Q2","'5-8",0.463816460005465,0.0420439616320986,12
"2010","EATL","Q2","'9+",0.183522792283493,0.0426375630603819,19
"2011","EATL","Q2","'9+",0.200282780059189,0.0429062601303228,103
"2012","EATL","Q2","'9+",0.246643908679954,0.0425939682584245,52
"2015","EATL","Q2","'9+",0.222794557482654,0.0412556861898224,50
"2013","EATL","Q2","'9+",0.38295117210043,0.0604704370835869,56
"2016","EATL","Q2","'9+",0.209164407555806,0.0395296789438832,50
"2018","EATL","Q2","'9+",0.200220949314429,0.0350940198555142,16
"2019","EATL","Q2","'9+",0.177734637033523,0.0356758209058711,75
"2014","EATL","Q2","'9+",0.262337588253212,0.0476039636011734,49
"2010","MED","Q2","'9+",0.126359860739308,0.0271453964729118,7
"2011","MED","Q2","'9+",0.140280905446644,0.0104945692976411,100
"2012","MED","Q2","'9+",0.124598323976908,0.0112772682260861,71
"2015","MED","Q2","'9+",0.126124679717973,0.0161449480892802,31
"2013","MED","Q2","'9+",0.126342441438739,0.0360189858775537,1
"2016","MED","Q2","'9+",0.139731997675104,0.0177794670641083,30
"2010","WATL","Q2","'9+",0.39181809536392,0.042924684504978,5
